,id,date,genre,text,pre_target,nb_tokens,stance,sujet,pre_gemma
10,893,02/10/2016,Homme,"Ce fut une expérience plutôt enrichissante d'un point de vu humain. La nuit a été calme en raison de la pluie. Malgré tout,  trois SDF ont été pris en charge dans des centres d'hébergement d'urgence et de soin. Cependant on constate que l'action du Samu social reste quand même limité, notamment dans la prise en charge des SDF, puisque qu'on propose à ces derniers uniquement des logements d'urgence à renouveler chaque nuit ou des soins d'urgence mais sans régler de façon pereine leur situation.","(Samu social, Contre)(prise en charge des SDF, Contre)(nuit calme, Neutre)",106.0,"['Contre', 'Contre', 'Neutre']","['Samu social', 'prise en charge des SDF', 'nuit calme']","(expérience, Neutre)
(SDF, Contre)
(Samu social, Contre) 
"
11,2145,20/11/2011,Homme,"Je trouve cette expérience très intéressante. Pas médicalement, mais humainement parlant. Je suis personnellement très sensible au côté humain de notre futur travail et cette garde permet de se rendre compte de la misère dans laquelle vivent quelques personnes et de nous sensibiliser à leur cause.    J'ai été en double écoute avec quelqu'un de très sympa qui m'a expliqué l'orientation et la différence entre plusieurs centres d'hébergements. La maraude était assez fatigante (grande activité la nuit de ma garde), parfois assez insolite (on a du appeler la police devant une personne agressive) mais encore une fois très intéressante. L'équipe prend vraiment le temps de nous expliquer les choses et de nous faire partager leur univers.     Au total une bonne expérience, pas forcément à répéter (je pense qu'on fait à peu près le tour en une garde), mais je ne pense pas que j'ai perdu mon temps!!","(l'expérience, Pour) (la répétition de l'expérience, Contre)",186.0,"['Pour', 'Contre']","[""l'expérience"", ""la répétition de l'expérience""]","( expérience, Pour)
(côté humain, Pour)
(fatigue, Contre) 
"
12,1487,22/05/2014,Homme,"On débute cette garde par la double écoute très intéressante car nous montrant un public faisant appel au 115 que l'on ne rencontre pas forcément dans la rue et qui ne sont pas des grands exclu, ex un jeune de 18 ans en conflit familial étant sur Paris depuis peu et a cours de plan pour dormir chez des amis. Après, la réunion avec les équipes des différents camions ou est signaler les Sdf qu'il faut chercher plus particulièrement, un de ces Sdf signalé je l'avais d'ailleurs déjà vu mais dans le cadre hospitalier et enfin la maraude très intéressante dans le contact avec les Sdf avec lesquels on a pas forcément le temps ou l'envie de parler a l'hôpital.","(Utilisation du 115, Neutre), (SDF et soins hospitaliers, Neutre), (Maraude et contact avec les SDF, Neutre)",146.0,"['Neutre', 'Neutre', 'Neutre']","['Utilisation du 115', 'SDF et soins hospitaliers', 'Maraude et contact avec les SDF']","(double écoute, Pour)
(réunion avec les équipes des camions, Pour)
(maraude, Pour) 
"
13,119,06/07/2019,Homme,"L'intérêt de cette garde réside dans la découverte d'un milieu associatif qui place l'essentiel de son action dans la conservation du lien social parmi les populations les plus fragiles.  Elle était assez immersive et complète grâce à l'accueil réservé par les équipes et leur considération, ainsi que par la diversité des taches rencontrées (double écoute et patrouille de nuit).  Elle permet aussi de mieux appréhender les conditions de vie et les difficultés rencontrées par les personnes dans une situation d'extrême précarité.","(découverte d'un milieu associatif, Pour) (accueil réservé par les équipes, Pour) (conditions de vie des personnes en précarité, Pour)",109.0,"['Pour', 'Pour', 'Pour']","[""découverte d'un milieu associatif"", 'accueil réservé par les équipes', 'conditions de vie des personnes en précarité']","(lien social, Pour)
(accueil et considération, Pour)
(conditions de vie et difficultés, Pour)  
"
14,221,16/02/2019,Femme,"Expérience très enrichissante, les gens avec qui j'ai fait la maraude étaient très gentils et ouverts à toutes mes questions. Au cours de la nuit, nous avons vu pas mal de gens et avons pu les aider plus facilement que je n'aurais imaginé. Étant donné que c'était une nuit d'été où il faisait bon, la plupart d'entre eux allaient plutôt bien et c'était une bonne ambiance qui régnait à chaque rencontre. J'imagine que l'hiver les conditions sont très différentes. En tous cas, il s'agit d'une très bonne idée d'organiser cet nuit au SAMU social."," (organisation de la nuit au SAMU social, Pour)",126.0,['Pour'],['organisation de la nuit au SAMU social'],"(la maraude, Pour)
(les gens rencontrés, Pour)
(les conditions hivernales, Neutre) 
"
15,1614,22/10/2013,Femme,"Cette nuit au SAMU social a été très enrichissante et je trouve cela très bien que ce système soit instauré  pour les étudiants en médecine.  L'équipe est très gentille et accueillante, la double écoute était très intéressante et on se rend compte du nombre de familles dans le besoin et à la recherche d'un hôtel pour la nuit !    Au cours de la nuit de maraude, nous avons amené 6 personnes dans différents centres (5 hommes et seulement 1 femme !), beaucoup d'autres personnes ont refusées d'être pris en charge.  La situation qui m'a le plus marqué est un homme de 25 - 30 ans qui travaillait dans la restauration et qui n'avait pas assez d'argent pour se louer une chambre d'hôtel ou louer un appartement. En général il perdait son emploi après quelques mois car le rythme était trop dur à suivre avec le fait de vivre dans la rue et il n'arrivait pas à sortir de ce ""cercle vicieux"".  ""La boulangerie"" est un immense refuge assez impressionnant avec plus de 400 hommes réunis !    En tout cas j'ai beaucoup aimé cette nuit. Seul point négatif : l'horaire de fin, le SAMU peut vous poser a Paris vers 3h du matin et quand on habite pas Paris c'est pas très pratique !  Le SAMU social a un intérêt certain pour tous ces gens dans la rue, et les équipes sont très respectueuses et surtout pas dans la pitié ce qui m'a agréablement surprise !","(SAMU social, Pour)(Situation des sans-abri, Neutre)(Horaire de fin du SAMU, Contre)",316.0,"['Pour', 'Neutre', 'Contre']","['SAMU social', 'Situation des sans-abri', 'Horaire de fin du SAMU']","(Le SAMU social, Pour), (le rythme de travail dans la restauration, Neutre), (l'horaire de fin du SAMU social, Contre) 
"
16,1876,12/11/2012,Femme,"Pour moi, la garde du SAMU social est une expérience enrichissante, on peut se rendre compte de la misère que l'on côtoie tous les jours.La grande différence, c'est que d'habitude on essaye de l'ignorer et on passe son chemin, alors qu'ici on prend le temps de parler avec les SDF, de leur donner un café ou un repas chaud.  C'est complètement différent de ce que l'on fait dans les services de médecine, où il y a beaucoup de technique, de rationnel, de distance vis à vis du patient, lors des maraudes:on échange, de personne à personne sur un pied d'égalité et c'est ce qui fait que c'est plus humain.  En tout cas, ça donne envie de recommencer et on ne verra plus ces personnes de la même manière qu'auparavant.","(SAMU social, Pour), (interaction avec les SDF, Pour), (services de médecine, Contre)",172.0,"['Pour', 'Pour', 'Contre']","['SAMU social', 'interaction avec les SDF', 'services de médecine']","(garde du SAMU social, Pour)
(misère/SDF, Pour)
(relation avec les patients, Pour) 
"
17,1617,21/10/2013,Femme,"Cette nuit m'a beaucoup changée...Nous sommes tous au courant de l'existence de la misère, de la pauvreté, des personnes sans abris, seulement notre société ferme les yeux. Le samu social me les a ouvert, et pour ça je les en remercierai toute ma vie. J'ai pris la décision de m'engager auprès d'une association pour aider les sdf. Ces personnes ont besoin de nous pour s'en sortir. Le froid qui m'a glacé cette nuit je ne l'oublierai jamais, comment vivre, dormir avec ce froid, comment ne pas perdre espoir ... Heureusement que le samu social est la pour leur apporter un peu de chaleur.   Merci pour l'opportunité de vivre cette expérience.","(aide aux personnes sans abris, Pour)(samu social, Pour)(indifférence de la société envers la pauvreté, Contre)",150.0,"['Pour', 'Pour', 'Contre']","['aide aux personnes sans abris', 'samu social', 'indifférence de la société envers la pauvreté']","(misère, Pour)
(pauvreté, Pour)
(samu social, Pour) 
"
18,238,15/02/2019,Femme,"Plusieurs choses m’ont marqué lors de cette nuit au SAMU Social. Mais la principale est le fait de ne pas pouvoir trouver un lieu au chaud pour passer la nuit à toutes les personnes qui appellent. Lors des appels téléphoniques (double écoute), j’ai assisté à plusieurs refus de placement dû au manque de places dans les foyers. Je ne pensais pas qu’autant de personnes appelaient et faisaient face à ces refus. Ceux ci rappellent le lendemain, certains même tous les jours, le plus tôt possible dans l’espoir d’avoir enfin une place pour passer une nuit au chaud. Devoir annoncer implicitement à un homme ou une femme qu’il allait devoir passer une nouvelle nuit dans le froid m’a profondément peiné.   Courage à eux et à toutes les équipes du Samu social qui apportent une aide précieuse à tant de monde.","(pas de lieu au chaud, Contre) (manque de places dans les foyers, Contre) (Samu Social, Pour)",177.0,"['Contre', 'Contre', 'Pour']","['pas de lieu au chaud', 'manque de places dans les foyers', 'Samu Social']","(manque de places dans les foyers, Contre), (le travail du SAMU Social, Pour), (les personnes appelants le SAMU Social, Neutre) 
"
19,2169,27/10/2011,Femme,Experiene humainement très intéressante.    A faire au moins une fois.   Une nuit très enrichissante.,"(humainement, Pour)",22.0,['Pour'],['humainement'],"(Expérience,  Pour) 
(Enrichissante, Pour)  
 
"
20,696,11/07/2017,Homme,"J'ai l'impression que le Samu Social est démuni devant l'ampleur de la tâche... Les personnes démunies se retrouvent donc parfois déçues par rapport à leurs attentes, notamment les familles pour lesquelles il y a très peu d'hébergement: par exemple un jeune couple avec un bébé d'1 an que nous avons rencontré dans la nuit, qui se voit proposer un café à la place d'un hébergement, la mère en pleurs devant nous. La France veut se donner une tâche pour laquelle elle n'a pas les moyens...","(Samu Social, Contre)(hébergement des familles, Contre)(moyens de la France, Contre)",113.0,"['Contre', 'Contre', 'Contre']","['Samu Social', 'hébergement des familles', 'moyens de la France']","(Samu Social, Contre) 
(Hébergements sociaux, Contre)
(Moyens financers, Contre) 
"
21,1221,01/08/2015,Femme,"Une expérience riche, qui permet de voir un point de vu nouveau de tous ces gens qui vivent dans la rue.   Il me semble que cette expérience est intéressante, tant d'un point de vu humain, dans le cadre de notre vie personnelle, mais aussi dans le cadre de notre futur activité professionnelle.  La problématique notamment de s'adapter au mode de vie de nos futurs patients...","(expérience, Pour), (vie personnelle, Pour), (futur activité professionnelle, Pour)",78.0,"['Pour', 'Pour', 'Pour']","['expérience', 'vie personnelle', 'futur activité professionnelle']","(expérience, Pour) 
(point de vue des gens dans la rue, Pour)
(s'adapter au mode de vie des patients, Pour) 
"
22,773,20/04/2017,Femme,Première maraude et l'expérience vu très enrichissante. Cela m'a permis de découvrir un peu le tissu d'aides à Paris que je ne pensais pas aussi organiser et de bien comprendre le rôle du 115. Équipe accueillante et ouverte au question et des échanges très enrichissants au fil de la nuit. Merci pour cela!,"(équipe accueillante, Pour) (découverte du tissu d'aides à Paris, Pour) (rôle du 115, Pour)",68.0,"['Pour', 'Pour', 'Pour']","['équipe accueillante', ""découverte du tissu d'aides à Paris"", 'rôle du 115']","(réseau d'aides social à Paris, Pour) (115, Pour) (Équipe d'accueil, Pour) 
"
23,837,22/12/2016,Homme,"J'ai d'abord été accueilli dans le centre d'appel, on m'a expliqué comment étaient répartis les bureaux c'était assez clair puis j'ai fait la double écoute. L'écoutante était pédagogue mais j'ai trouvé qu'aucun appel n'avait mené à une solution ce qui est dommage et si j'ai bien compris c'était 99% du temps pareil à cette heure-ci.    La réunion était intéressante car elle permet de faire le point sur les gens croisés la veille dans la rue etc    J'ai été affecté à une équipe très sympathique, pédagogue et humaine avec Joris le conducteur, et je suis sincèrement navré j'ai oublié le nom de l'infirmière et de l'assistante. Nous avons parcouru des rues de Paris et avons pu leur trouver des logements pour la nuit.    C'est une bonne expérience.","(accueil dans le centre d'appel, Neutre) (efficacité des appels, Contre) (expérience générale, Pour)",176.0,"['Neutre', 'Contre', 'Pour']","[""accueil dans le centre d'appel"", 'efficacité des appels', 'expérience générale']","(centre d'appel, Neutre), (résolution des appels, Contre), (équipe, Pour) 
"
24,942,02/08/2016,Femme,"Déjà je voulais remercier toute l'équipe pour leur accueil, j'ai passé un très bon moment. Ils font un travail remarquable, vraiment. Je les trouve admirable.    Cette garde doit impérativement être reproposer aux futurs DCEM2.    C'est extrêmement enrichissant, ça m'a vraiment ouvert les yeux sur ces personnes qui n'ont absolument rien. J'ai beaucoup moins d'appréhention à aller vers eux.   Cette garde est, selon moi, indispensable à notre cursus.  Elle fait tomber des barrières, ce qui me permettra de mieux prendre en charge cette population par la suite que ce soit aux urgences ou ailleurs.    Le seul point négatif que je peux trouver à cette garde: l'horaire de fin de garde n'est pas du tout adapté.","(équipe, Pour) (garde pour futurs DCEM2, Pour) (horaire de fin de garde, Contre)",158.0,"['Pour', 'Pour', 'Contre']","['équipe', 'garde pour futurs DCEM2', 'horaire de fin de garde']","(garde, Pour)
(horaire de fin de garde, Contre)
(expérience et apprentissage, Pour) 
"
25,2128,01/12/2011,Homme,"J'ai trouvé cette expérience très enrichissante, d'aller au contact des personnes en difficultés et de leur venir en aide et cela de la façon la plus naturelle possible.   On se rend compte qu'il y a de nombreuses personnes qui dorment dans les rues la nuit et souvent dans des conditions très précaires.   J'ai trouvé que la nuit passé avec le samu social de paris a été utile et je pense qu'il faudrait réitérer ce genre de mission, avec d'autres organismes par exemple.","(aide aux personnes en difficultés, Pour) (conditions de vie des sans-abris, Neutre) (réitérer les missions avec d'autres organismes, Pour)",100.0,"['Pour', 'Neutre', 'Pour']","['aide aux personnes en difficultés', 'conditions de vie des sans-abris', ""réitérer les missions avec d'autres organismes""]","(aller au contact des personnes en difficultés, Pour)
(condition des personnes sans-abri, Contre)
(réitérer ce genre de mission, Pour)  
"
26,1790,27/03/2013,Femme,"Cette garde au Samu Social a été enrichissante. Elle permet de prendre conscience de la difficulté des conditions de vie de certains citoyens. Elle permet également de saisir l'importance d'une structure de soutien, d'écoute et d'aide comme le SAMU SOCIAL.   Néanmoins, faire une nuit compète me parait un peu long, et la partie double écoute inutile.","(samu social, Pour) (nuit complète, Contre) (double écoute, Contre)",75.0,"['Pour', 'Contre', 'Contre']","['samu social', 'nuit complète', 'double écoute']","(garde au Samu Social, Pour)
(conditions de vie des citoyens, Pour)
(durée et format de la garde, Contre) 

"
27,1509,30/03/2014,Femme,"Au moment de ma garde au SAMU SOCIAL, s'achevait la période hivernale, signifiant moins de places d'hébergement disponibles pour autant de demandes. Les places partaient vite et la plupart des réponses données aux personnes appelant au 115 et sollicitant un hébergement étaient ""nous n'avons pas encore de places disponibles veuillez rappeler dans 1 heure"", ""abritez vous dans une église ou un hôpital en attendant"", sans aucune certitude que ces personnes ne dormiront pas une nouvelle fois, seule ou parfois avec toute une famille, dans la rue ou dans une gare. Pour ces personnes, la quête d'un endroit où passer la nuit est quotidienne (on reconnait tout de suite les habitués du Samu social, certains bien connus dans les centres d'hébergement, d'autres se jetant quasiment sous les roues du camion pour être sûrs qu'on ne les oublierait pas de la nuit...) et les solutions pour les aider ne sont que temporaires, dans l'urgence, alors qu'il faudrait agir en amont, trouver des solutions plus pérennes. La seule chose qu'on pouvait se dire pour se rassurer était qu'heureusement l'hiver n'avait pas été trop froid cette année.","(places d'hébergement, Neutre) (solutions temporaires vs pérennes, Contre) (conditions hivernales, Neutre)",249.0,"['Neutre', 'Contre', 'Neutre']","[""places d'hébergement"", 'solutions temporaires vs pérennes', 'conditions hivernales']","(places d'hébergement, Contre)
(solutions d'urgence, Contre)
(solutions pérennes, Pour) 
"
28,916,29/08/2016,Femme,"J'ai trouvé intéressant d'avoir pu voir en fonction de quels critères étaient attribuées les places dans les centres d'hébergements (nombre de nuits d'affilée déjà passées dehors, homme ou femme, individus +/- fragiles...), ainsi que d'avoir pu visiter un de ces centres. J'ai été surprise de constater à quel point les travailleurs sociaux connaissaient parfois bien, depuis plusieurs années, certains sans-abris, et j'ai surtout apprécié le regard différent sur ces gens de la rue que cette maraude m'a permis d'acquérir... En effet, la démarche du SAMU social va dans un sens opposé à celui qu'ont la plupart des personnes au quotidien, qui consiste plutôt en l'ignorance voire l'exclusion de ces personnes, alors que ce soir-là, nous sommes justement à leur rencontre, dans un but d'échange.","(critères attribution places centres d'hébergement, Pour) (connaissance travailleurs sociaux des sans-abris, Pour) (démarche du SAMU social, Pour)",175.0,"['Pour', 'Pour', 'Pour']","[""critères attribution places centres d'hébergement"", 'connaissance travailleurs sociaux des sans-abris', 'démarche du SAMU social']","(critères d'attribution des places dans les centres d'hébergement, Pour)
(regard sur les sans-abris, Pour)
(démarche du SAMU social, Pour) 
"
29,1819,27/01/2013,Homme,"Equipe fort sympathique, accueillante et chaleureuse...Pas de problèmes majeurs à signaler durant la garde, si ce n'est évidemment la température glaciale qui semble être le principal dénominateur commun le plus préoccupant... Sinon il faudrait aussi penser à inscrire la lèpre dans la liste des maladies professionnelles...","(Equipe, Pour) (température glaciale, Contre) (lèpre, Neutre)",63.0,"['Pour', 'Contre', 'Neutre']","['Equipe', 'température glaciale', 'lèpre']","(Equipe, Pour)
(Température, Contre)
(Maladies professionnelles, Contre) 
"
